type,wheel_name,wheel_ref,axle_type,overall_a,overall_b,overall_c,tolerance_a,tolerance_b,tolerance_c,f_shank_min,f_shank_max,h2h_min,h2h_max,b2b_min,b2b_max,chassis_span
hw,,XXLWW,MA ,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,0.96,0.98,0.446,0.486,0.43
hw,,XXLWW,IA ,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,0.99,1.01,0.476,0.516,0.445
hw,,XXLWW,RA,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,1.025,1.045,-,-,
hw,,XXLWW,SRA,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,1.05,1.07,,,
hw,,XXLWW,LA,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,1.08,1.1,0.566,0.606,0.559
hw,,XXLWW,TSA,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,1.095,1.115,0.581,0.621,0.559
hw,,XXLWW,CA,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,1.12,1.14,0.606,0.646,
hw,,XXLWW,SCA,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,1.15,1.17,0.636,0.676,0.769
hw,,XXLWW,XLA ,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,1.195,1.215,0.681,0.721,
hw,,XXLWW,S2,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,1.28,1.3,-,-,
hw,,XXLWW,DA,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,1.33,1.35,0.816,0.856,0.789
hw,,XXLWW,S3,17.4,7.62,8.51,0.05,0.05,0.12,0.235,0.245,1.435,1.455,0.921,0.961,0.889
hw,,"Construction XLW (15268, P4484, CFL91)",SA,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,0.83,0.85,-,-,
hw,,"Construction XLW (15268, P4484, CFL91)",S1,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,0.915,0.935,0.561,0.611,0.555
hw,,"Construction XLW (15268, P4484, CFL91)",MA ,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,0.96,0.98,0.606,0.656,0.581
hw,,"Construction XLW (15268, P4484, CFL91)",IA ,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,0.99,1.01,0.636,0.686,0.589
hw,,"Construction XLW (15268, P4484, CFL91)",RA,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,1.025,1.045,-,-,0.633
hw,,"Construction XLW (15268, P4484, CFL91)",SRA,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,1.05,1.07,0.696,0.746,0.677
hw,,"Construction XLW (15268, P4484, CFL91)",LA,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,1.08,1.1,0.726,0.776,0.677 - OLD
hw,,"Construction XLW (15268, P4484, CFL91)",TSA,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,1.095,1.115,0.741,0.791,
hw,,"Construction XLW (15268, P4484, CFL91)",CA,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,1.12,1.14,-,-,
hw,,"Construction XLW (15268, P4484, CFL91)",SCA,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,1.15,1.17,0.796,0.846,0.774 / 0.779
hw,,"Construction XLW (15268, P4484, CFL91)",XLA ,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,1.195,1.215,0.841,0.891,
hw,,"Construction XLW (15268, P4484, CFL91)",S2,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,1.28,1.3,0.926,0.976,0.889
hw,,"Construction XLW (15268, P4484, CFL91)",DA,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,1.33,1.35,,,
hw,,"Construction XLW (15268, P4484, CFL91)",S3,14.3,7.57,8.84,0.05,0.05,0.12,0.15,0.165,1.435,1.455,1.081,1.131,1.01
