type,wheel_name,wheel_ref,axle_type,overall_a,overall_b,overall_c,tolerance_a,tolerance_b,tolerance_c,f_shank_min,f_shank_max,h2h_min,h2h_max,b2b_min,b2b_max,chassis_span
mb,,J2373,AX2,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,0.99,1.02,0.556,0.606,0.54
mb,,GBK35,AX2,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,0.99,1.02,0.556,0.606,0.54
mb,,GKP16,AX2,11.7,5.4,6.9,0.05,0.05,0.05,0.16,0.17,0.93,0.96,0.566,0.616,0.54
mb,,JHM27,AX2,14.73,5.33,6.55,0.05,0.05,0.12,0.175,0.185,0.96,0.99,,,0.54
mb,,J2379,AX3,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,1,1.03,0.606,0.656,0.578
mb,,GMD01,AX3,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,1,1.03,0.606,0.656,0.578
mb,,J2375,AX3,12.6,5.2,6.4,0.05,0.05,0.05,0.175,0.185,1,1.03,0.606,0.656,0.578
mb,,J6609,AX3,12.6,5.5,6.5,0.05,0.05,0.05,0.175,0.185,1,1.03,0.606,0.656,0.578
mb,,M2635 (MW),AX3,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,0.99,1.02,0.626,0.666,0.578
mb,,HKW29,AX3,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,0.99,1.02,0.626,0.666,0.578
mb,,M2635 (LW),AX3,12.6,5.6,6.7,0.05,0.05,0.05,0.16,0.17,0.99,1.02,0.626,0.676,0.578
mb,,M2633,AX3,11.7,5.4,6.9,0.05,0.05,0.05,0.175,0.185,1,1.03,0.606,0.656,0.578
mb,,R0462,AX3,10.8,5.3,6.6,0.05,0.05,0.05,0.165,0.175,0.97,1,0.596,0.646,0.578
mb,,R0456,AX3,10.9,5,6.5,0.05,0.05,0.05,0.16,0.17,0.97,1,0.606,0.656,0.578
mb,,X4888,AX3,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.22,1.25,0.616,0.676,0.578
mb,,X4889,AX3,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.22,1.25,0.616,0.676,0.578
mb,,J6614,AX3,17,8.9,10,0.05,0.05,0.05,0.28,0.295,1.22,1.25,0.606,0.666,0.578
mb,,M2631,AX3,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,1,1.03,0.614,0.664,0.578
mb,,DVK24,AX3,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,1,1.03,0.614,0.664,0.578
mb,,J2369,AX3,11.7,5.8,6.8,0.05,0.05,0.05,0.15,0.16,0.97,1,0.606,0.656,0.578
mb,,K9482,AX3,12.6,5.8,6.5,0.05,0.05,0.05,0.145,0.16,0.95,0.98,0.606,0.666,0.578
mb,,J6299,AX3,11.3,5.7,6.8,0.05,0.05,0.05,0.147,0.157,0.95,0.98,0.612,0.662,0.578
mb,,J2373,AX3,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.03,1.06,0.596,0.646,0.578
mb,,GBK35,AX3,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.03,1.06,0.596,0.646,0.578
mb,,GKP16,AX3,11.7,5.4,6.9,0.05,0.05,0.05,0.16,0.17,0.97,1,0.606,0.656,0.578
mb,,JHM27,AX3,14.73,5.33,6.55,0.05,0.05,0.12,0.175,0.185,1,1.03,,,0.578
mb,,J2379,AX4,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,1.05,1.08,0.656,0.706,0.628
mb,,GMD01,AX4,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,1.05,1.08,0.656,0.706,0.628
mb,,J2375,AX4,12.6,5.2,6.4,0.05,0.05,0.05,0.175,0.185,1.05,1.08,0.656,0.706,0.628
mb,,J6609,AX4,12.6,5.5,6.5,0.05,0.05,0.05,0.175,0.185,1.05,1.08,0.656,0.706,0.628
mb,,M2635 (MW),AX4,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,1.03,1.06,0.666,0.706,0.628
mb,,HKW29,AX4,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,1.03,1.06,0.666,0.706,0.628
mb,,M2635 (LW),AX4,12.6,5.6,6.7,0.05,0.05,0.05,0.16,0.17,1.03,1.06,0.666,0.716,0.628
mb,,M2633,AX4,11.7,5.4,6.9,0.05,0.05,0.05,0.175,0.185,1.05,1.08,0.656,0.706,0.628
mb,,R0462,AX4,10.8,5.3,6.6,0.05,0.05,0.05,0.165,0.175,1.02,1.05,0.646,0.696,0.628
mb,,R0456,AX4,10.9,5,6.5,0.05,0.05,0.05,0.16,0.17,1.02,1.05,0.656,0.706,0.628
mb,,X4888,AX4,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.27,1.3,0.666,0.726,0.628
mb,,X4889,AX4,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.27,1.3,0.666,0.726,0.628
mb,,J6614,AX4,17,8.9,10,0.05,0.05,0.05,0.28,0.295,1.27,1.3,0.656,0.716,0.628
mb,,M2631,AX4,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,1.04,1.07,0.654,0.704,0.628
mb,,DVK24,AX4,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,1.04,1.07,0.654,0.704,0.628
mb,,J2369,AX4,11.7,5.8,6.8,0.05,0.05,0.05,0.15,0.16,1.02,1.05,0.656,0.706,0.628
mb,,K9482,AX4,12.6,5.8,6.5,0.05,0.05,0.05,0.145,0.16,0.99,1.02,0.646,0.706,0.628
mb,,J6299,AX4,11.3,5.7,6.8,0.05,0.05,0.05,0.147,0.157,1,1.03,0.662,0.712,0.628
mb,,J2373,AX4,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.08,1.11,0.646,0.696,0.628
mb,,GBK35,AX4,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.08,1.11,0.646,0.696,0.628
mb,,GKP16,AX4,11.7,5.4,6.9,0.05,0.05,0.05,0.16,0.17,1.02,1.05,0.656,0.706,0.628
mb,,JHM27,AX4,14.73,5.33,6.55,0.05,0.05,0.12,0.175,0.185,1.05,1.08,,,0.628
mb,,J2379,AX5,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,1.1,1.13,0.706,0.756,0.678
mb,,GMD01,AX5,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,1.1,1.13,0.706,0.756,0.678
mb,,J2375,AX5,12.6,5.2,6.4,0.05,0.05,0.05,0.175,0.185,1.1,1.13,0.706,0.756,0.678
mb,,J6609,AX5,12.6,5.5,6.5,0.05,0.05,0.05,0.175,0.185,1.1,1.13,0.706,0.756,0.678
mb,,M2635 (MW),AX5,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,1.08,1.1,0.716,0.746,0.678
mb,,HKW29,AX5,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,1.08,1.1,0.716,0.746,0.678
mb,,M2635 (LW),AX5,12.6,5.6,6.7,0.05,0.05,0.05,0.16,0.17,1.08,1.1,0.716,0.756,0.678
mb,,M2633,AX5,11.7,5.4,6.9,0.05,0.05,0.05,0.175,0.185,1.1,1.13,0.706,0.756,0.678
mb,,R0462,AX5,10.8,5.3,6.6,0.05,0.05,0.05,0.165,0.175,1.07,1.11,0.696,0.756,0.678
mb,,R0456,AX5,10.9,5,6.5,0.05,0.05,0.05,0.16,0.17,1.07,1.11,0.706,0.766,0.678
mb,,X4888,AX5,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.32,1.35,0.716,0.776,0.678
mb,,X4889,AX5,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.32,1.35,0.716,0.776,0.678
mb,,J6614,AX5,17,8.9,10,0.05,0.05,0.05,0.28,0.295,1.32,1.35,0.706,0.766,0.678
mb,,M2631,AX5,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,1.09,1.12,0.704,0.754,0.678
mb,,DVK24,AX5,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,1.09,1.12,0.704,0.754,0.678
mb,,J2369,AX5,11.7,5.8,6.8,0.05,0.05,0.05,0.15,0.16,1.07,1.1,0.706,0.756,0.678
mb,,K9482,AX5,12.6,5.8,6.5,0.05,0.05,0.05,0.145,0.16,1.04,1.07,0.696,0.756,0.678
mb,,J6299,AX5,11.3,5.7,6.8,0.05,0.05,0.05,0.147,0.157,1.05,1.08,0.712,0.762,0.678
mb,,J2373,AX5,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.13,1.16,0.696,0.746,0.678
mb,,GBK35,AX5,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.13,1.16,0.696,0.746,0.678
mb,,GKP16,AX5,11.7,5.4,6.9,0.05,0.05,0.05,0.16,0.17,1.07,1.1,0.706,0.756,0.678
mb,,JHM27,AX5,14.73,5.33,6.55,0.05,0.05,0.12,0.175,0.185,1.1,1.13,,,0.678
mb,,J2379,AX6,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,1.2,1.23,0.806,0.856,0.778
mb,,GMD01,AX6,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,1.2,1.23,0.806,0.856,0.778
mb,,J2375,AX6,12.6,5.2,6.4,0.05,0.05,0.05,0.175,0.185,1.2,1.23,0.806,0.856,0.778
mb,,J6609,AX6,12.6,5.5,6.5,0.05,0.05,0.05,0.175,0.185,1.2,1.23,0.806,0.856,0.778
mb,,M2635 (MW),AX6,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,1.18,1.21,0.816,0.856,0.778
mb,,HKW29,AX6,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,1.18,1.21,0.816,0.856,0.778
mb,,M2635 (LW),AX6,12.6,5.6,6.7,0.05,0.05,0.05,0.16,0.17,1.18,1.21,0.816,0.866,0.778
mb,,M2633,AX6,11.7,5.4,6.9,0.05,0.05,0.05,0.175,0.185,1.2,1.23,0.806,0.856,0.778
mb,,R0462,AX6,10.8,5.3,6.6,0.05,0.05,0.05,0.165,0.175,1.17,1.2,0.796,0.846,0.778
mb,,R0456,AX6,10.9,5,6.5,0.05,0.05,0.05,0.16,0.17,1.17,1.2,0.806,0.856,0.778
mb,,X4888,AX6,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.42,1.45,0.816,0.876,0.778
mb,,X4889,AX6,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.42,1.45,0.816,0.876,0.778
mb,,J6614,AX6,17,8.9,10,0.05,0.05,0.05,0.28,0.295,1.42,1.45,0.806,0.866,0.778
mb,,M2631,AX6,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,1.19,1.22,0.804,0.854,0.778
mb,,DVK24,AX6,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,1.19,1.22,0.804,0.854,0.778
mb,,J2369,AX6,11.7,5.8,6.8,0.05,0.05,0.05,0.15,0.16,1.17,1.2,0.806,0.856,0.778
mb,,K9482,AX6,12.6,5.8,6.5,0.05,0.05,0.05,0.145,0.16,1.14,1.17,0.796,0.856,0.778
mb,,J6299,AX6,11.3,5.7,6.8,0.05,0.05,0.05,0.147,0.157,1.15,1.18,0.812,0.862,0.778
mb,,J2373,AX6,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.23,1.26,0.796,0.846,0.778
mb,,GBK35,AX6,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.23,1.26,0.796,0.846,0.778
mb,,GKP16,AX6,11.7,5.4,6.9,0.05,0.05,0.05,0.16,0.17,1.17,1.2,0.806,0.856,0.778
mb,,JHM27,AX6,14.73,5.33,6.55,0.05,0.05,0.12,0.175,0.185,1.2,1.23,,,0.778
mb,,J2379,AX7,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,1.31,1.34,0.916,0.966,0.878
mb,,GMD01,AX7,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,1.31,1.34,0.916,0.966,0.878
mb,,J2375,AX7,12.6,5.2,6.4,0.05,0.05,0.05,0.175,0.185,1.31,1.34,0.916,0.966,0.878
mb,,J6609,AX7,12.6,5.5,6.5,0.05,0.05,0.05,0.175,0.185,1.31,1.34,0.916,0.966,0.878
mb,,M2635 (MW),AX7,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,-,-,-,-,0.878
mb,,HKW29,AX7,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,-,-,-,-,0.878
mb,,M2635 (LW),AX7,12.6,5.6,6.7,0.05,0.05,0.05,0.16,0.17,-,-,-,-,0.878
mb,,M2633,AX7,11.7,5.4,6.9,0.05,0.05,0.05,0.175,0.185,1.31,1.34,0.916,0.966,0.878
mb,,R0462,AX7,10.8,5.3,6.6,0.05,0.05,0.05,0.165,0.175,1.28,1.31,0.906,0.956,0.878
mb,,R0456,AX7,10.9,5,6.5,0.05,0.05,0.05,0.16,0.17,1.28,1.31,0.916,0.966,0.878
mb,,X4888,AX7,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.52,1.55,0.916,0.976,0.878
mb,,X4889,AX7,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,1.52,1.55,0.916,0.976,0.878
mb,,J6614,AX7,17,8.9,10,0.05,0.05,0.05,0.28,0.295,1.52,1.55,0.906,0.966,0.878
mb,,M2631,AX7,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,1.282,1.326,0.896,0.96,0.878
mb,,DVK24,AX7,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,1.282,1.326,0.896,0.96,0.878
mb,,J2369,AX7,11.7,5.8,6.8,0.05,0.05,0.05,0.15,0.16,1.28,1.31,0.916,0.966,0.878
mb,,K9482,AX7,12.6,5.8,6.5,0.05,0.05,0.05,0.145,0.16,1.24,1.27,0.896,0.956,0.878
mb,,J6299,AX7,11.3,5.7,6.8,0.05,0.05,0.05,0.147,0.157,1.26,1.29,0.922,0.972,0.878
mb,,J2373,AX7,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.34,1.37,0.906,0.956,0.878
mb,,GBK35,AX7,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.34,1.37,0.906,0.956,0.878
mb,,GKP16,AX7,11.7,5.4,6.9,0.05,0.05,0.05,0.16,0.17,1.28,1.31,0.916,0.966,0.878
mb,,JHM27,AX7,14.73,5.33,6.55,0.05,0.05,0.12,0.175,0.185,1.31,1.34,,,0.878
mb,,J2379,S3,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,-,-,-,-,1.019
mb,,GMD01,S3,12.7,5.3,6.7,0.05,0.05,0.05,0.175,0.185,-,-,-,-,1.019
mb,,J2375,S3,12.6,5.2,6.4,0.05,0.05,0.05,0.175,0.185,-,-,-,-,1.019
mb,,J6609,S3,12.6,5.5,6.5,0.05,0.05,0.05,0.175,0.185,-,-,-,-,1.019
mb,,M2635 (MW),S3,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,-,-,-,-,1.019
mb,,HKW29,S3,11.3,5.8,6.7,0.05,0.2,0.05,0.165,0.17,-,-,-,-,1.019
mb,,M2635 (LW),S3,12.6,5.6,6.7,0.05,0.05,0.05,0.16,0.17,-,-,-,-,1.019
mb,,M2633,S3,11.7,5.4,6.9,0.05,0.05,0.05,0.175,0.185,-,-,-,-,1.019
mb,,R0462,S3,10.8,5.3,6.6,0.05,0.05,0.05,0.165,0.175,-,-,-,-,1.019
mb,,R0456,S3,10.9,5,6.5,0.05,0.05,0.05,0.16,0.17,-,-,-,-,1.019
mb,,X4888,S3,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,-,-,-,-,1.019
mb,,X4889,S3,16.9,7.7,10,0.05,0.05,0.05,0.275,0.29,-,-,-,-,1.019
mb,,J6614,S3,17,8.9,10,0.05,0.05,0.05,0.28,0.295,-,-,-,-,1.019
mb,,M2631,S3,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,-,-,-,-,1.019
mb,,DVK24,S3,13.3,5.9,7,0.05,0.05,0.05,0.171,0.181,-,-,-,-,1.019
mb,,J2369,S3,11.7,5.8,6.8,0.05,0.05,0.05,0.15,0.16,-,-,-,-,1.019
mb,,K9482,S3,12.6,5.8,6.5,0.05,0.05,0.05,0.145,0.16,-,-,-,-,1.019
mb,,J6299,S3,11.3,5.7,6.8,0.05,0.05,0.05,0.147,0.157,-,-,-,-,1.019
mb,,J2373,S3,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.435,1.455,1.001,1.041,1.019
mb,,GBK35,S3,11.5,5,6.8,0.05,0.05,0.05,0.195,0.205,1.435,1.455,1.001,1.041,1.019
mb,,GKP16,S3,11.7,5.4,6.9,0.05,0.05,0.05,0.16,0.17,-,-,,,1.019
mb,,JHM27,S3,14.73,5.33,6.55,0.05,0.05,0.12,0.175,0.185,-,-,,,1.019
mp,,SW(Thin),PSA,9.4,3,4.5,0.05,0.05,0.05,0.097,0.11,0.64,0.66,0.396,0.442,0.37
mp,,SW(Thin),PIA,9.4,3,4.5,0.05,0.05,0.05,0.097,0.11,0.77,0.79,0.526,0.572,0.5
mp,,SW(Wide),SA,9.4,4.5,6.5,0.05,0.05,0.05,0.162,0.175,0.83,0.85,0.456,0.502,0.43
mp,,Mini Wheel,PMA,7.4,3.8,4.8,0.05,0.05,0.05,0.067,0.08,0.71,0.73,0.526,0.572,0.5
mp,,MW,SA,10.97,5.33,6.55,0.05,0.05,0.12,0.162,0.175,0.83,0.85,,,0.43
mp,,Toy BE402 SW(Wide),SSA,9.4,4.5,6.5,0.05,0.05,0.05,0.162,0.175,0.81,0.83,0.436,0.482,0.43
tnf,,MW,SA,9.3,3,4.5,0.2,0.2,0.2,0.097,0.11,0.64,0.66,0.396,0.442,0.37
tnf,,LW,SA,15.9,,6.48,0.2,,0.2,0.12,0.13,0.83,0.85,0.549,0.589,0.519
tnf,,LW,LA,15.9,,6.48,0.2,,0.2,0.12,0.13,1.08,1.1,0.549,0.831,0.761
tnf,,HBX90 - SW,LA,15.86,,4.97,0.05,,0.05,0.12,0.13,1.08,1.1,0.796,0.836,0.766
tnf,,HBX91 - LW,LA,11.89,,6.4,0.05,,0.05,0.12,0.13,1.08,1.1,0.796,0.836,0.766
tnf,,LW,TCA,15.9,,6.48,0.2,,0.2,0.175,0.185,1.17,1.19,0.773,0.813,0.77
